siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
005450093,00033,00545009300033,O,2001-02-20,NN,,,2019-11-14T14:00:14,true,7,LE PASSY,,,AV,DES THERMES,04800,GREOUX-LES-BAINS,,,04094,,,,,,,,,,,,,,,,,,,2010-12-24,A,PASSIONNEMENT GLAMOUR,,,PASSIONNEMENT GLAMOUR,47.78C,NAFRev2,O
005450093,00041,00545009300041,O,2011-04-12,NN,,,2019-11-14T14:00:14,false,1,,36,,RUE,GRANDE,04800,GREOUX-LES-BAINS,,,04094,,,,,,,,,,,,,,,,,,,2011-04-12,A,PASSIONNEMENT GLAMOUR,,,PASSIONNEMENT GLAMOUR,47.71Z,NAFRev2,O
005450093,00058,00545009300058,O,2015-02-01,NN,,,2019-11-14T14:00:14,false,3,,27,,RUE,GRANDE,04800,GREOUX-LES-BAINS,,,04094,,,,,,,,,,,,,,,,,,,2016-12-31,F,,,,,47.71Z,NAFRev2,O
005450101,00026,00545010100026,O,,,,,2019-11-14T14:00:19,true,1,,4,,BD,LA FERRAGE,13860,PEYROLLES-EN-PROVENCE,,,13074,,,,,,,,,,,,,,,,,,,1988-09-26,F,,,,,18.11,NAP,N
005450119,00010,00545011900010,O,1986-03-24,NN,,,,false,4,,63,,BD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,1994-12-25,F,LE GRAND CAFE,,,,92.3H,NAF1993,O
005450119,00028,00545011900028,O,1994-05-01,NN,,,2021-10-28T08:45:47,true,3,ROUTE DE MARSEILLE,,,,SAINT CHRISTOPHE,04000,DIGNE-LES-BAINS,,BP 9,04070,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,70.10Z,NAFRev2,N
005450119,00036,00545011900036,O,1994-05-01,,,,2012-05-05T00:05:22,false,6,,3,,BD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,,,,,,,,,,,,,,,2010-02-08,A,,,,,56.30Z,NAFRev2,N
005470018,00010,00547001800010,O,,,,,2019-11-14T14:00:38,true,1,,,,AV,DU MARCHE,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,55.40,NAP,N
005470075,00010,00547007500010,O,,,,,,true,1,,13,,RUE,DU CENTRE,44510,LE POULIGUEN,,,44135,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.08,NAP,N
005470190,00017,00547019000017,O,,,,,,true,1,,,,RUE,DE KERVENEL,44490,LE CROISIC,,,44049,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,69.12,NAP,N
005470208,00017,00547020800017,O,,NN,,,2019-11-14T14:00:39,true,1,,105,,AV,DE LA REPUBLIQUE,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,2000-02-05,F,,,,,64.11,NAP,N
005470430,00017,00547043000017,O,,NN,,,,true,1,,2,,RUE,CHARLES BRUNELIERE,44570,TRIGNAC,,,44210,,,,,,,,,,,,,,,,,,,,F,,,,,62.43,NAP,N
005470455,00014,00547045500014,O,,,,,2019-11-14T14:00:38,true,1,,,,LD,LA BOSSE,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.41,NAP,N
005470489,00013,00547048900013,O,,,,,,true,1,,,,LD,LE PONT DENYON,44480,DONGES,,,44052,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,86.06,NAP,N
005470620,00013,00547062000013,O,,,,,2019-11-14T14:00:39,true,1,,17,,RUE,DES CHANTIERS,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1993-03-31,F,,,,,55.4B,NAF1993,N
005470653,00014,00547065300014,O,,,,,2019-11-14T14:00:39,true,1,,23,,BD,LEON GAMBETTA,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1993-08-16,F,,,,,52.1B,NAF1993,N
005470927,00020,00547092700020,O,,,,,,true,1,,,,AV,DE LA FORET,44300,NANTES,,,44109,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.14,NAP,N
005470943,00019,00547094300019,O,,,,,,true,1,,,,,,44130,BLAIN,,,44015,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,58.03,NAP,N
005470984,00013,00547098400013,O,,,,,2019-11-14T14:00:39,true,1,,,,AV,DE LA VERA CRUZ,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,40.32,NAP,N
005471065,00010,00547106500010,O,,,,,,true,1,,1,,PL,DU GENERAL D ARGENCE,44410,HERBIGNAC,,,44072,,,,,,,,,,,,,,,,,,,1987-12-31,F,,,,,67.04,NAP,N
005471115,00013,00547111500013,O,,NN,,,2020-12-23T11:25:44,true,1,,45,,RUE,DE LA PAIX ET DES ARTS,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,,F,,,,,64.11,NAP,N
005471214,00014,00547121400014,O,,NN,,,,true,1,,8,,PL,DE L HOTEL DE VILLE,44260,SAVENAY,,,44195,,,,,,,,,,,,,,,,,,,,F,,,,,64.11,NAP,N
005471420,00017,00547142000017,O,,,,,2019-11-14T14:00:39,true,1,,,,BD,DE VERDUN,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N
005471438,00019,00547143800019,O,,,,,,true,1,,,,,BEAULIEU,44160,PONTCHATEAU,,,44129,,,,,,,,,,,,,,,,,,,1995-08-31,F,,,,,70.2C,NAF1993,N
005471495,00019,00547149500019,O,,,,,,true,1,,,,RUE,DE VERDUN,44260,SAVENAY,,,44195,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,55.72,NAP,N
005471578,00012,00547157800012,O,,,,,,true,1,,,,PL,DE L EGLISE,44130,LE GAVRE,,,44062,,,,,,,,,,,,,,,,,,,1987-09-30,F,,,,,67.04,NAP,N
005471594,00019,00547159400019,O,,,,,,true,1,,,,PL,DE L'EGLISE,44530,GUENROUET,,,44068,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.40,NAP,N
005471602,00010,00547160200010,O,,,,,2019-11-14T14:00:39,true,1,,,,RUE,DE PORNICHET,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,81.21,NAP,N
005471628,00015,00547162800015,O,,,,,,true,1,,22,,RUE,GREGOIRE ORAIN,44460,FEGREAC,,,44057,,,,,,,,,,,,,,,,,,,1992-06-30,F,,,,,85.1J,NAF1993,N
005471685,00015,00547168500015,O,,,,,,true,1,,,,RTE,DE NANTES,44160,PONTCHATEAU,,,44129,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.08,NAP,N
005471743,00012,00547174300012,O,,,,,2019-11-14T14:00:39,true,1,,,,AV,DE LA REPUBLIQUE,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.12,NAP,N
005471768,00019,00547176800019,O,,,,,2019-11-14T14:00:38,true,1,,,,AV,DES IBIS,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,40.32,NAP,N
005471784,00016,00547178400016,O,,NN,,,2019-11-14T14:00:38,true,1,,,,RUE,HOTEL VILLE,44290,GUEMENE-PENFAO,,,44067,,,,,,,,,,,,,,,,,,,1988-08-31,F,,,,,15.8C,NAF1993,N
005471800,00010,00547180000010,O,1900-01-01,,,,2019-11-14T14:00:38,false,4,,145,,AV,DU GENERAL DE GAULLE,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1997-04-30,F,LA BAULE AMEUBLEMENT,,,,52.4H,NAF1993,N
005471800,00028,00547180000028,O,1900-01-01,NN,,,2008-01-04T17:54:11,true,3,,,,RTE,DE LA BAULE,44350,GUERANDE,,,44069,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
005471842,00012,00547184200012,O,,NN,,,,true,1,,,,PL,ABB CORBILLE,44130,BOUVRON,,,44023,,,,,,,,,,,,,,,,,,,,F,,,,,62.44,NAP,N
005471891,00019,00547189100019,O,,,,,2019-11-14T14:00:38,true,1,,,,,ESP BENOIT,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.46,NAP,N
005471941,00012,00547194100012,O,,,,,2019-11-14T14:00:38,true,1,,,,AV,DONIZETTI,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,65.06,NAP,N
005471958,00016,00547195800016,O,,NN,,,2019-11-14T14:00:38,true,1,,15,,AV,GEORGES CLEMENCEAU,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1988-09-30,F,,,,,67.08,NAP,N
005472014,00017,00547201400017,O,,,,,,true,1,,,,RTE,DE VANNES,44160,PONTCHATEAU,,,44129,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,65.03,NAP,N
005472022,00028,00547202200028,O,,,,,,true,1,,,,BD,OCEANIDES,44380,PORNICHET,,,44132,,,,,,,,,,,,,,,,,,,1987-07-09,F,,,,,86.09,NAP,N
005472063,00014,00547206300014,O,,NN,,,2019-11-14T14:00:38,true,1,,163,B,,MAYUN,44410,LA CHAPELLE-DES-MARAIS,,,44030,,,,,,,,,,,,,,,,,,,1990-06-30,F,,,,,54.08,NAP,N
005472238,00020,00547223800020,O,1900-01-01,NN,,,2006-11-29T06:19:16,true,3,,,,,LE BOURG,44630,PLESSE,,,44128,,,,,,,,,,,,,,,,,,,2006-06-30,F,,,,,70.2C,NAFRev1,N
005472253,00011,00547225300011,O,,NN,,,2019-11-14T14:00:38,true,1,,276,,AV,MAL DE LATTRE DE TASSIGNY,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,,F,,,,,67.08,NAP,N
005472261,00014,00547226100014,O,,NN,,,,true,1,,,,,LA VILLES DAVAUD,44380,PORNICHET,,,44132,,,,,,,,,,,,,,,,,,,1996-09-30,F,,,,,37.2Z,NAF1993,N
005472683,00019,00547268300019,O,,,,,2019-11-14T14:00:38,true,1,,,,,BOURG,44530,SAINT-GILDAS-DES-BOIS,,,44161,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.04,NAP,N
005472857,00019,00547285700019,O,,NN,,,2019-11-14T14:00:38,true,1,,,,,BOURG,44160,SAINTE-ANNE-SUR-BRIVET,,,44152,,,,,,,,,,,,,,,,,,,1990-03-27,F,,,,,22.01,NAP,N
005472873,00016,00547287300016,O,,,,,,true,1,,,,AV,DE MAZY,44380,PORNICHET,,,44132,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.43,NAP,N
005472980,00019,00547298000019,O,1954-01-01,,,,2008-01-04T17:54:11,true,6,,,,,BOURG,44360,CORDEMAIS,,,44045,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
005473020,00013,00547302000013,O,,NN,,,2019-11-14T14:00:38,true,1,,10,,BD,COURCELLES,44290,GUEMENE-PENFAO,,,44067,,,,,,,,,,,,,,,,,,,,F,,,,,55.71,NAP,N
005473152,00048,00547315200048,O,1998-01-01,NN,,,2019-11-14T14:00:15,true,1,,3,,ALL,DE LA COLLE LONGUE,06270,VILLENEUVE-LOUBET,,,06161,,,,,,,,,,,,,,,,,,,2001-10-04,F,,,,,70.2A,NAF1993,N
005473202,00017,00547320200017,O,1900-01-01,,,,2006-12-15T00:14:43,false,4,,2,,PL,ARISTIDE BRIAND,44220,COUERON,,,44047,,,,,,,,,,,,,,,,,,,1992-12-25,F,,,,,52.2C,NAF1993,N
005473202,00025,00547320200025,O,1992-05-01,NN,,,2008-01-04T17:54:11,true,3,,5,,RUE,DU DOCTEUR JANVIER,44220,COUERON,,,44047,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
005473244,00027,00547324400027,O,,NN,,,,true,1,,40,B,AV,GEORGES CLEMENCEAU,44380,PORNICHET,,,44132,,,,,,,,,,,,,,,,,,,1997-12-29,F,,,,,70.2C,NAF1993,N
005473285,00012,00547328500012,O,,NN,,,2019-11-14T14:00:39,true,1,,29,,RUE,DU MAINE,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1993-09-30,F,,,,,52.4Z,NAF1993,N
005473327,00012,00547332700012,O,,NN,,,,true,1,,8,,,Q DE LA PETITE CHAMBRE,44490,LE CROISIC,,,44049,,,,,,,,,,,,,,,,,,,,F,,,,,57.07,NAP,N
005473418,00019,00547341800019,O,1954-01-01,NN,,,2006-10-26T23:33:47,true,3,,,,LD,VILLE BERTHE,44460,FEGREAC,,,44057,,,,,,,,,,,,,,,,,,,2006-05-09,F,,,,,70.2C,NAFRev1,N
005473442,00019,00547344200019,O,,,,,2019-11-14T14:00:39,true,1,,,,RTE,DE LA COTE D AMOUR,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.30,NAP,N
005473822,00038,00547382200038,O,,,,,2018-08-17T13:00:15,true,1,,,,IMP,STE ELISABETH,44260,SAVENAY,,,44195,,,,,,,,,,,,,,,,,,,,F,,,,,35.01,NAP,N
005473921,00012,00547392100012,O,,NN,,,2019-11-14T14:00:39,true,1,,88,,AV,DE LA REPUBLIQUE,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,,F,,,,,64.11,NAP,N
005473939,00014,00547393900014,O,,,,,,true,1,,,,RUE,DU TRAICT,44490,LE CROISIC,,,44049,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,87.06,NAP,N
005473988,00011,00547398800011,O,,,,,,true,1,,,,,Q ST PIERRE,44420,LA TURBALLE,,,44211,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.08,NAP,N
005474200,00010,00547420000010,O,,NN,,,,true,1,,,,AV,DE LA MONNERAYE,44410,HERBIGNAC,,,44072,,,,,,,,,,,,,,,,,,,1988-06-01,F,,,,,69.12,NAP,N
005474440,00012,00547444000012,O,1954-01-01,NN,,,2019-11-14T14:00:38,true,4,,31,,BD,DE LA LIBERATION,44360,SAINT-ETIENNE-DE-MONTLUC,,,44158,,,,,,,,,,,,,,,,,,,2003-08-31,F,,,,,70.2C,NAFRev1,N
005474481,00016,00547448100016,O,,NN,,,2019-11-14T14:00:39,true,1,,71,,AV,ALBERT DE MUN,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,,F,,,,,81.21,NAP,N
005474507,00018,00547450700018,O,,,,,2019-11-14T14:00:38,true,1,,,,ALL,DES PETRELS,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,87.01,NAP,N
005474564,00019,00547456400019,O,,,,,,true,1,,,,BD,DE LA LIBERATION,44220,COUERON,,,44047,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.04,NAP,N
005474598,00017,00547459800017,O,,NN,,,,true,1,,8,,AV,DES PINS,44380,PORNICHET,,,44132,,,,,,,,,,,,,,,,,,,1993-08-31,F,,,,,55.3A,NAF1993,N
005474630,00018,00547463000018,O,,NN,,,2019-11-14T14:00:39,true,1,,32,,AV,DU GENERAL DE GAULLE,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1994-06-29,F,,,,,70.2C,NAF1993,N
005474747,00010,00547474700010,O,,NN,,,,true,1,,,,LD,LE DRESNY,44630,PLESSE,,,44128,,,,,,,,,,,,,,,,,,,,F,,,,,55.71,NAP,N
005474770,00012,00547477000012,O,,,,,2019-11-14T14:00:39,true,1,,,,RUE,DE TRIGNAC,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.04,NAP,N
005474945,00010,00547494500010,O,,,,,,true,1,,,,RTE,ROUTE DE ST GILDAS,44530,GUENROUET,,,44068,,,,,,,,,,,,,,,,,,,,F,,,,,67.08,NAP,N
005474960,00019,00547496000019,O,1954-01-01,NN,,,2019-11-14T14:00:39,true,4,,86,,RUE,JEAN GUTENBERG,44600,SAINT-NAZAIRE,,,44184,,,,,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N
005475215,00017,00547521500017,O,,NN,,,,true,1,,,,LD,LANCE,44630,PLESSE,,,44128,,,,,,,,,,,,,,,,,,,,F,,,,,67.04,NAP,N
005475314,00018,00547531400018,O,,NN,,,,true,1,,1,,RUE,DE LA GARE,44510,LE POULIGUEN,,,44135,,,,,,,,,,,,,,,,,,,,F,,,,,67.07,NAP,N
005480066,00124,00548006600124,O,1994-06-29,,,,,true,1,,7,,RTE,DE POMPIERRE,44100,NANTES,,,44109,,,,,,,,,,,,,,,,,,,2000-07-01,F,,,,,71.2A,NAF1993,N
005480082,00014,00548008200014,O,1954-01-01,NN,,,2019-11-14T14:00:39,true,4,,,,,DISSIGNAC,44600,SAINT-NAZAIRE,,BP 115,44184,,,,,,,,,,,,,,,,,,,1998-12-31,F,,,,,45.1A,NAF1993,O
005480165,00017,00548016500017,O,,,,,2019-11-14T14:00:38,true,1,,,,AV,DU GENERAL DE GAULLE,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.01,NAP,N
005480231,00017,00548023100017,O,1900-01-01,NN,,,2019-11-14T14:00:38,true,4,,220,,AV,MAL DE LATTRE DE TASSIGNY,44500,LA BAULE-ESCOUBLAC,,,44055,,,,,,,,,,,,,,,,,,,1991-12-25,F,,,,,64.22,NAP,N
005480256,00014,00548025600014,O,,NN,,,2019-11-14T14:00:38,true,1,,6,,RUE,DU POULIGUEN,44740,BATZ-SUR-MER,,,44010,,,,,,,,,,,,,,,,,,,,F,,,,,86.04,NAP,N
005480546,00018,00548054600018,O,1958-01-01,00,2018,,2021-05-04T15:55:59,true,6,,,,,LENIPHEN,44350,GUERANDE,,,44069,,,,,,,,,,,,,,,,,,,2018-04-25,A,,,,,17.12Z,NAFRev2,N
005480546,00059,00548054600059,O,1992-01-01,NN,,,,false,4,IMMEUBLE LE LUTECIEN,322,,BD,JEAN JACQUES BOSC,33130,BEGLES,,,33039,,,,,,,,,,,,,,,,,,,1998-12-31,F,SODIPA,,,,74.1J,NAF1993,O
005480546,00067,00548054600067,O,2006-11-30,NN,,,2015-12-09T04:29:33,false,5,ZI,,,,MONTCOUPOT,51210,MONTMIRAIL,,,51380,,,,,,,,,,,,,,,,,,,2014-01-22,F,,,,,17.21B,NAFRev2,N
005510037,00012,00551003700012,O,,NN,,,,true,1,,1,,RUE,HOHON,80510,LONG,,,80486,,,,,,,,,,,,,,,,,,,1987-12-31,F,,,,,64.11,NAP,N
005510060,00014,00551006000014,O,,NN,,,2019-11-14T14:01:01,true,1,,2,,RTE,DE FEUQUIERES,80210,TOURS-EN-VIMEU,,,80765,,,,,,,,,,,,,,,,,,,1987-06-23,F,,,,,57.02,NAP,N
005510086,00019,00551008600019,O,,,,,,true,1,,,,,,80150,CANCHY,,,80167,,,,,,,,,,,,,,,,,,,1987-05-31,F,,,,,38.40,NAP,N
005510102,00014,00551010200014,O,,NN,,,,true,1,,142,,CHS,MARCADE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1989-08-30,F,,,,,82.06,NAP,N
005510326,00019,00551032600019,O,,NN,,,2019-11-14T14:01:01,true,1,,,,,,80135,SAINT-RIQUIER,,,80716,,,,,,,,,,,,,,,,,,,1990-10-05,F,,,,,67.04,NAP,N
005510367,00013,00551036700013,O,,NN,,,,true,1,,,,HAM,DE BELLEFONTAINE,80490,BAILLEUL,,,80051,,,,,,,,,,,,,,,,,,,1996-08-10,F,,,,,67.05,NAP,N
005510490,00013,00551049000013,O,,NN,,,,true,1,,,,,,80120,QUEND,,,80649,,,,,,,,,,,,,,,,,,,1987-12-31,F,,,,,64.24,NAP,N
005510508,00020,00551050800020,O,,NN,,,,true,1,,,,RUE,DU 11 NOVEMBRE,80220,GAMACHES,,,80373,,,,,,,,,,,,,,,,,,,,F,,,,,62.11,NAP,N
005510532,00053,00551053200053,O,,,,,,true,1,,691,,RUE,D ABBEVILLE,80000,AMIENS,,,80021,,,,,,,,,,,,,,,,,,,1988-09-22,F,,,,,64.47,NAP,N
005510623,00027,00551062300027,O,,NN,,,,true,1,,7,,RUE,SAINT ANTOINE,80510,LONG,,,80486,,,,,,,,,,,,,,,,,,,1993-06-30,F,,,,,55.2C,NAF1993,N
005510631,00012,00551063100012,O,,NN,,,2019-11-14T14:01:00,true,1,,13,,RUE,ROGER SALENGRO,80210,FEUQUIERES-EN-VIMEU,,,80308,,,,,,,,,,,,,,,,,,,1994-03-31,F,,,,,52.1B,NAF1993,N
005510722,00019,00551072200019,O,,,,,,true,1,,,,,,80135,ONEUX,,,80609,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.49,NAP,N
005510854,00010,00551085400010,O,,,,,,true,1,,,,RUE,JEAN DE PONTHIEU,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,81.21,NAP,N
005511027,00012,00551102700012,O,,,,,,true,1,,15,,RUE,DU MARAIS,80120,RUE,,,80688,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,56.02,NAP,N
005511050,00014,00551105000014,O,,NN,,,2019-11-14T14:01:00,true,1,,8,,RTE,DE BERCK,80120,FORT-MAHON-PLAGE,,,80333,,,,,,,,,,,,,,,,,,,1984-03-20,F,,,,,67.08,NAP,N
005511100,00017,00551110000017,O,,,,,,true,1,,,,CHS,MARCADE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,78.02,NAP,N
005511142,00019,00551114200019,O,,NN,,,2019-11-14T14:01:00,true,1,,53,,RUE,PIERRE CURIE,80210,FEUQUIERES-EN-VIMEU,,,80308,,,,,,,,,,,,,,,,,,,1992-06-30,F,,,,,55.4B,NAF1993,N
005511167,00016,00551116700016,O,,NN,,,2019-11-14T14:01:00,true,1,,,,,,80150,DOMPIERRE-SUR-AUTHIE,,,80248,,,,,,,,,,,,,,,,,,,1990-06-30,F,,,,,67.04,NAP,N
005511183,00021,00551118300021,O,,,,,,true,1,,41,,RUE,DU LIEUTENANT CARON,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1997-03-17,F,,,,,60.2E,NAF1993,N
005511225,00012,00551122500012,O,,,,,,true,1,,,,RUE,DE L EGLISE,80132,CAMBRON,,,80163,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N
005511357,00013,00551135700013,O,,NN,,,,true,1,,27,,RUE,MARECHAL FOCH,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,F,,,,,87.03,NAP,N
005511415,00019,00551141500019,O,,,,,2019-11-14T14:01:01,true,1,,11,,RUE,DE LA REPUBLIQUE,80510,LONGPRE-LES-CORPS-SAINTS,,,80488,,,,,,,,,,,,,,,,,,,1990-02-14,F,,,,,67.07,NAP,N
005511449,00018,00551144900018,O,,,,,2019-11-14T14:01:00,true,1,,,,RUE,JACQUES MALLET,80132,HAUTVILLERS-OUVILLE,,,80422,,,,,,,,,,,,,,,,,,,1991-01-31,F,,,,,60.2L,NAF1993,N
005511456,00013,00551145600013,O,1955-01-01,NN,,,2012-07-28T11:19:34,true,5,,62,,RUE,GRANDE,80220,GAMACHES,,,80373,,,,,,,,,,,,,,,,,,,2011-12-25,F,,,,,68.20B,NAFRev2,N
005511464,00017,00551146400017,O,,NN,,,,true,1,,259,,RTE,DE ROUEN,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1989-12-30,F,,,,,67.05,NAP,N
005511472,00010,00551147200010,O,,NN,,,,true,1,,24,,RUE,SAINT VULFRAN,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1990-08-31,F,,,,,64.11,NAP,N
005511530,00015,00551153000015,O,,NN,,,,true,1,,8,,RUE,GASTON GARRY,80120,RUE,,,80688,,,,,,,,,,,,,,,,,,,1988-10-25,F,,,,,64.24,NAP,N
005511688,00011,00551168800011,O,,,,,,true,1,,33,,RUE,VASSEUR,80120,QUEND,,,80649,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,81.21,NAP,N
005511738,00014,00551173800014,O,,NN,,,2019-11-14T14:01:01,true,1,,,,RUE,NOTRE DAME,80135,SAINT-RIQUIER,,,80716,,,,,,,,,,,,,,,,,,,,F,,,,,62.44,NAP,N
005511845,00017,00551184500017,O,,,,,,true,1,,10,,RUE,DU GENERAL LECLERC,80550,LE CROTOY,,,80228,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,81.21,NAP,N
005511944,00018,00551194400018,O,,,,,,true,1,,,,,,80570,DARGNIES,,,80235,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,21.11,NAP,N
005512025,00015,00551202500015,O,,,,,,true,1,,,,RUE,MARECHAL FOCH,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,81.21,NAP,N
005512066,00019,00551206600019,O,,NN,,,2019-11-14T14:01:00,true,1,,3,,RUE,FERDINAND BUISSON,80210,FEUQUIERES-EN-VIMEU,,,80308,,,,,,,,,,,,,,,,,,,1988-06-15,F,,,,,81.21,NAP,N
005512231,00019,00551223100019,O,,NN,,,,true,1,,,,,,80150,LE BOISLE,,,80109,,,,,,,,,,,,,,,,,,,1994-08-29,F,,,,,55.40,NAP,N
005512363,00010,00551236300010,O,,NN,,,,true,1,,,,,,80132,LE TITRE,,,80763,,,,,,,,,,,,,,,,,,,1991-12-20,F,,,,,62.44,NAP,N
005512447,00011,00551244700011,O,,NN,,,2019-11-14T14:01:00,true,1,,,,RUE,ROGER SALENGRO,80210,FEUQUIERES-EN-VIMEU,,,80308,,,,,,,,,,,,,,,,,,,1988-09-30,F,,,,,81.21,NAP,N
005512645,00010,00551264500010,O,,NN,,,,true,1,,,,RUE,DE L EGLISE,80140,HUPPY,,,80446,,,,,,,,,,,,,,,,,,,,F,,,,,22.02,NAP,N
005512678,00011,00551267800011,O,,NN,,,,true,1,,,,PL,DU MONUMENT,80550,LE CROTOY,,,80228,,,,,,,,,,,,,,,,,,,,F,,,,,81.21,NAP,N
005512686,00014,00551268600014,O,,NN,,,,true,1,,8,,RUE,DE LA PORTE DU PONT,80550,LE CROTOY,,,80228,,,,,,,,,,,,,,,,,,,1994-03-31,F,,,,,55.3A,NAF1993,N
